location_type_id,location_type,dest_purpose
241,Real Estate Services,NULL
242,RecreationalStructure,33
243,Rehabilitation Services,34
244,Religious Organizations,54
245,Rental Services,33
246,Residential,52
247,ResidentialStructure,NULL
248,Restaurant,50
249,Restaurants,50
250,Restaurants and Other Eating Places,50
251,Retail,32
252,Sandwiches,50
253,School,21
254,Schools,21
255,ScientificResearchBase,NULL
256,Seafood,50
257,Shop,32
258,ShoppingCenter,32
259,Sightseeing Tours,53
260,Soba Udon and Ramen Restaurant,50
261,Social Service Organizations,NULL
262,Specialty Education,23
263,Specialty Food Stores,30
264,"Sporting Goods, Hobby, and Musical Instrument Stores",32
265,Sportswear Stores,32
266,Steak House,50
267,Store,NULL
268,Structure,NULL
269,Supermarkets,30
270,Support Activities for Air Transportation,NULL
271,Sushi Restaurant,50
272,Swimming Pools,51
273,Tattoos and Piercings,33
274,Tax Return Preparation and Filing,33
275,Taxi Services,NULL
276,Thai Restaurant,50
277,Travel,NULL
278,Travel Accommodations,152
279,Traveler Accommodation,152
280,Tutoring Services,33
281,University,22
282,UnKnown,NULL
283,Urgent Care,34
284,Used Merchandise Stores,32
285,Vacation Home Rentals,152
286,Vegetarian and Vegan Restaurant,50
287,Veterinarians,34
288,Vietnamese Restaurant,50
289,Warehouse Club Stores,30
290,Wine Bars,50
291,Wired and Wireless Telecommunications Carriers,33
292,Women's Clothing Stores,32
293,Yoga,51
294,Zoo,53
295,Colleges and Universities,22
296,Community and Junior Colleges,22
297,Adult Education,23
298,Computer Coaching,23
299,Driving Schools,23
300,Language Schools,23
301,Vocational and Training Schools,25
302,Auto and Home Insurance,32
303,Auto Detailing Services,32
304,Bookstores,32
305,Electronics Stores,32
306,HobbyStore,32
307,Housewares,32
308,Malls and Shopping Centers,32
309,Marijuana Stores,32
310,Pawn Shops,32
311,Screen Printing,32
312,Shoe Stores,32
313,Sporting Goods Stores,32
314,Store,32
315,Thrift Stores,32
316,Used Car and Truck Dealers,32
317,Audio-Visual Production and Design,33
318,Beauty and Spa,33
319,Government and Community,33
320,Government Services,33
321,Individual and Family Services,33
322,Insurance Carriers,33
323,Libraries,33
324,Local and State Government Offices,33
325,Nail Salons,33
326,Real Estate Services,33
327,Senior Citizen Services,33
328,Social Advocacy Organizations,33
329,Social Service Organizations,33
330,Travel Agencies,33
331,Gastroenterologists,34
332,Infectious Disease Specialists,34
333,Radiologists,34
334,Korean Restaurant,50
335,Middle Eastern Restaurant,50
336,Taiwanese Restaurant,50
337,Golf Courses,51
338,Rock Climbing,51
339,Sports and Recreation,51
340,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,52
341,Fraternities and Sororities,52
342,Fairs,53
343,Museum,53
344,Museums,53
345,Stadium,53
346,Stadiums and Playing Fields,53
347,Food Banks,54
348,Homeless Shelters,54
349,Landmarks,54
350,Religion,54
