person_id,tripnum,dest_purpose,depart_time_timestamp,arrival_time_timestamp,mode_1,mode_2,mode_3,mode_4,distance_miles,speed_mph
2500009603,1,Went home,2025-03-06 09:30:00.0000000,2025-03-06 09:31:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,0,0
2500009603,2,"Changed or transferred mode (e.g., change from ferry to bus)",2025-03-06 09:32:00.0000000,2025-03-06 09:45:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,1.03187202526648,4.762500924309674
2500009603,3,"Other shopping (e.g., mall, pet store)",2025-03-06 10:30:00.0000000,2025-03-06 10:45:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,7.18021797026582,28.72087188106328
2500009603,4,"Personal business (e.g., bank, post office)",2025-03-06 10:47:00.0000000,2025-03-06 10:55:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,0.394302102519558,2.95727316207959
2500009603,5,"Personal business (e.g., bank, post office)",2025-03-06 10:58:00.0000000,2025-03-06 11:05:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,0.449839667281839,3.8557906097906756
2500009603,6,"Recreational event (e.g., movies, sporting event)",2025-03-06 11:30:00.0000000,2025-03-06 11:45:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,1.35929150439075,5.437166017563
2500009603,7,"Changed or transferred mode (e.g., change from ferry to bus)",2025-03-06 15:00:00.0000000,2025-03-06 15:20:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,6.22955231812508,18.688675643050885
2500009603,8,"Changed or transferred mode (e.g., change from ferry to bus)",2025-03-06 15:28:06.0000000,2025-03-06 16:06:54.0000000,Ferry or water taxi,Missing Response,Missing Response,Missing Response,4.31,6.664955324696211
2500009603,9,Went home,2025-03-06 16:15:00.0000000,2025-03-06 16:30:00.0000000,Ferry or water taxi,Household vehicle (or motorcycle),Missing Response,Missing Response,1.03187202526648,4.12748810106592
2500042802,1,"Changed or transferred mode (e.g., change from ferry to bus)",2025-03-10 04:30:00.0000000,2025-03-10 05:20:00.0000000,"Bus, shuttle, or vanpool (public transit, private service, or shuttles for older adults and people with disabilities)",Missing Response,Missing Response,Missing Response,23.0160111988114,27.619224486263473
2500042802,2,Went home,2025-03-10 14:30:00.0000000,2025-03-10 15:35:00.0000000,"Bus, shuttle, or vanpool (public transit, private service, or shuttles for older adults and people with disabilities)",Missing Response,Missing Response,Missing Response,23.0160111988114,21.245555335996777
2500233901,1,Religious/civic/volunteer activity,2025-03-23 08:32:00.0000000,2025-03-23 08:38:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,3.81102877547166,38.1102877547166
2500233901,2,Grocery shopping,2025-03-23 09:50:00.0000000,2025-03-23 10:08:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,10.2096092115952,34.03203070531734
2500233901,3,Grocery shopping,2025-03-23 10:34:00.0000000,2025-03-23 10:46:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,1.09449097640821,5.47245488204105
2500233901,4,"Other shopping (e.g., mall, pet store)",2025-03-23 11:26:00.0000000,2025-03-23 11:30:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,0.505039644377854,7.575670422372033
2500233901,5,Other reason,2025-03-23 12:14:00.0000000,2025-03-23 12:16:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,0.260349893466958,7.810574909757838
2500233901,6,Went home,2025-03-23 12:22:00.0000000,2025-03-23 12:35:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,6.54969511417899,30.229455079149428
2500233901,7,Pick someone up,2025-03-23 16:08:00.0000000,2025-03-23 16:15:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,3.46497644382906,29.699967804065107
2500233901,8,Went to restaurant to eat/get take-out,2025-03-23 16:18:00.0000000,2025-03-23 16:54:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,21.1130629044521,35.18843817408683
2500233901,9,Drop someone off,2025-03-23 18:20:00.0000000,2025-03-23 18:51:00.0000000,Household vehicle (or motorcycle),Missing Response,Missing Response,Missing Response,20.5174001919841,39.71114838596714
